Date,Result,GF,GA,xG,xGA,Poss,Opponent,Venue,Positive Sentiment Ratio,Negative Sentiment Ratio
2024-05-19,L,1,2,2.2,1.1,39,Chelsea,Away,0.31666666666666665,0.21666666666666667
2024-05-11,L,1,2,0.7,1.1,48,Brentford,Home,0.3684210526315789,0.20526315789473684
2024-05-04,L,0,3,0.5,3.3,45,Arsenal,Away,0.17725752508361203,0.46153846153846156
2024-04-28,W,3,0,1.9,0.9,31,Brighton,Home,0.34545454545454546,0.2636363636363636
2024-04-24,W,1,0,1.9,0.5,37,Wolves,Away,0.2222222222222222,0.18518518518518517
2024-04-21,L,1,3,1.8,2.4,44,Aston Villa,Away,0.3492063492063492,0.25396825396825395
2024-04-13,D,2,2,1.6,1.2,43,Manchester Utd,Home,0.16666666666666666,0.4895833333333333
2024-04-06,L,1,2,0.4,1.5,45,Luton Town,Away,0.8,0.0
2024-04-02,W,1,0,1.1,0.2,50,Crystal Palace,Home,0.4482758620689655,0.27586206896551724
2024-03-30,W,2,1,1.3,1.0,48,Everton,Home,0.41025641025641024,0.20512820512820512
2024-03-13,W,4,3,2.3,2.0,59,Luton Town,Home,0.5060240963855421,0.1686746987951807
2024-03-03,W,2,0,1.1,1.5,26,Burnley,Away,0.375,0.40625
2024-02-27,L,0,1,,,49,Leicester City,Home,0.125,0.875
2024-02-17,D,2,2,2.2,2.2,38,Newcastle Utd,Away,0.45,0.26666666666666666
2024-02-04,D,1,1,1.3,0.5,45,Nott'ham Forest,Home,0.4883720930232558,0.3488372093023256
2024-02-01,D,1,1,1.2,1.4,52,West Ham,Away,0.18181818181818182,0.18181818181818182
2024-01-25,W,5,0,,,54,Swansea City,Home,0.6666666666666666,0.0
2024-01-21,L,0,4,1.4,1.5,40,Liverpool,Home,0.35119047619047616,0.19642857142857142
2023-12-31,L,1,3,1.7,2.3,50,Tottenham,Away,0.4262295081967213,0.22950819672131148
2023-12-23,W,3,2,1.6,1.0,66,Nott'ham Forest,Away,0.3835616438356164,0.2146118721461187
2023-12-06,W,2,0,1.8,1.0,41,Crystal Palace,Away,0.5666666666666667,0.1
2023-11-25,W,3,1,2.9,0.8,54,Sheffield Utd,Away,0.34,0.14
2023-11-11,W,2,0,2.4,0.5,48,Newcastle Utd,Home,0.40336134453781514,0.27170868347338933
2023-11-04,L,1,6,0.9,1.9,35,Manchester City,Away,0.2972972972972973,0.2635135135135135
2023-11-01,L,1,2,,,33,Liverpool,Home,0.2727272727272727,0.09090909090909091
2023-10-28,W,2,1,1.1,0.8,45,Burnley,Home,0.3761467889908257,0.27522935779816515
2023-10-21,L,1,2,0.6,2.4,35,Wolves,Home,0.17346938775510204,0.5204081632653061
2023-10-07,L,0,3,0.7,2.4,52,Everton,Away,0.2571428571428571,0.5
2023-09-30,L,0,4,0.6,3.4,43,Arsenal,Home,0.44124168514412415,0.24390243902439024
2023-09-27,W,2,0,,,54,Stoke City,Home,0.5294117647058824,0.11764705882352941
2023-09-24,L,1,3,1.1,1.9,39,Brighton,Away,0.0,0.0
2023-09-17,D,0,0,1.0,1.8,36,Chelsea,Home,0.23140495867768596,0.4049586776859504
2023-09-02,D,2,2,2.1,2.9,40,Brentford,Away,0.42857142857142855,0.16071428571428573
2023-08-29,W,3,2,,,57,Swansea City,Away,0.8888888888888888,0.0
2023-08-26,L,0,2,0.7,2.1,44,Tottenham,Home,0.4316546762589928,0.23741007194244604
2023-08-19,L,1,3,1.3,3.0,36,Liverpool,Away,0.163302752293578,0.5119266055045871
